City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,constantia,44.1833,28.65,277.53,89,100,8.29,RO,1701641046
163,coahuayana de hidalgo,18.7,-103.6583,302.49,57,97,1.42,MX,1701641486
164,nemuro,43.3236,145.575,276.63,66,39,2.16,JP,1701641114
165,queenstown,-31.8976,26.8753,289.21,91,64,2.8,ZA,1701641097
166,ponta delgada,37.7333,-25.6667,287.55,67,20,2.06,PT,1701641487
167,suolahti,62.5642,25.8536,261.35,99,99,0.96,FI,1701641487
168,taos,36.4072,-105.5731,279.41,46,0,6.69,US,1701641487
169,dire dawa,9.5931,41.8661,291.01,49,37,0.82,ET,1701641488
170,bryne,58.7354,5.6477,273.12,84,0,3.6,NO,1701641489
171,santa ana de yacuma,-13.75,-65.4333,300.41,80,100,2.35,BO,1701641489
172,champerico,14.3,-91.9167,310.45,69,55,2.83,GT,1701641091
173,warrnambool,-38.3833,142.4833,291.15,64,93,3.69,AU,1701641489
174,iqaluit,63.7506,-68.5145,260.0,66,75,3.09,CA,1701641083
175,la passe,45.5549,-0.8967,279.28,67,100,7.81,FR,1701641090
176,balqash,46.8481,74.995,274.82,59,88,7.94,KZ,1701641490
177,thompson,55.7435,-97.8558,269.24,93,100,2.06,CA,1701641084
178,cova figueira,14.8905,-24.2934,295.75,79,69,6.7,CV,1701641490
179,bikenibeu village,1.3673,173.1241,302.13,79,40,3.09,KI,1701641093
180,selkirk,50.1436,-96.8845,274.19,78,90,0.89,CA,1701641490
181,illizi,26.4833,8.4667,288.46,16,0,2.37,DZ,1701641491
182,fortaleza,-3.7227,-38.5247,301.52,77,0,4.12,BR,1701641417
183,san bernardo del viento,9.3533,-75.9524,302.12,73,69,3.51,CO,1701641491
184,tamandare,-8.7597,-35.1047,299.46,85,60,4.53,BR,1701641491
185,riverton,40.5219,-111.9391,280.42,87,100,6.71,US,1701641491
186,novodvinsk,64.4165,40.8122,258.01,99,73,1.0,RU,1701641491
187,eraan,9.0629,117.7016,298.6,82,70,1.41,PH,1701641492
188,robertsport,6.7533,-11.3686,300.68,81,100,4.17,LR,1701641492
189,langepas,61.2544,75.2124,246.93,88,7,5.46,RU,1701641492
190,nguigmi,14.2495,13.1092,297.28,20,0,5.06,NE,1701641492
191,khorugh,37.4897,71.553,269.27,61,0,0.78,TJ,1701641492
192,chui,-33.6971,-53.4616,290.02,58,100,7.9,UY,1701641492
193,tolanaro,-25.0319,46.9987,294.8,78,75,5.94,MG,1701641126
194,dunedin,-45.8742,170.5036,286.37,54,62,4.02,NZ,1701641394
195,greenville,35.6127,-77.3663,294.34,90,40,2.06,US,1701641087
